ticker,company_name,cik,adsh,form,fy,fp,period_end,filed_at,revenue,operating_income,net_income,diluted_eps,operating_cash_flow,capex,net_margin,operating_margin,free_cash_flow
AAPL,APPLE INC,320193,0001193125-09-153165,10-Q,2009.0,Q3,2009-06-30,2009-07-22,8337000000.0,1672000000.0,1229000000.0,1.35,7049000000.0,,0.1474151373395706,0.2005517572268202,
AAPL,APPLE INC,320193,0001193125-09-214859,10-K,2009.0,FY,2009-09-30,2009-10-27,36537000000.0,7658000000.0,5704000000.0,6.29,10159000000.0,,0.15611571831294305,0.2095957522511427,
AAPL,APPLE INC,320193,0001193125-10-012085,10-Q,2010.0,Q1,2009-12-31,2010-01-25,15683000000.0,4725000000.0,3378000000.0,3.67,5781000000.0,,0.21539246317668814,0.3012816425428808,
AAPL,APPLE INC,320193,0001193125-10-088957,10-Q,2010.0,Q2,2010-03-31,2010-04-21,13499000000.0,3979000000.0,3074000000.0,3.33,8111000000.0,,0.22772057189421438,0.29476257500555597,
AAPL,APPLE INC,320193,0001193125-10-162840,10-Q,2010.0,Q3,2010-06-30,2010-07-21,15700000000.0,4234000000.0,3253000000.0,3.51,12912000000.0,,0.20719745222929936,0.2696815286624204,
AAPL,APPLE INC,320193,0001193125-10-238044,10-K,2010.0,FY,2010-09-30,2010-10-27,65225000000.0,18385000000.0,14013000000.0,15.15,18595000000.0,,0.21484093522422384,0.2818704484476811,
AAPL,APPLE INC,320193,0001193125-11-010144,10-Q,2011.0,Q1,2010-12-31,2011-01-19,26741000000.0,7827000000.0,6004000000.0,6.43,9773000000.0,,0.22452413896264165,0.2926966082046296,
AAPL,APPLE INC,320193,0001193125-11-104388,10-Q,2011.0,Q2,2011-03-31,2011-04-21,24667000000.0,7874000000.0,5987000000.0,6.4,15992000000.0,,0.24271293631167146,0.31921190254185755,
AAPL,APPLE INC,320193,0001193125-11-192493,10-Q,2011.0,Q3,2011-06-30,2011-07-20,28571000000.0,9379000000.0,7308000000.0,7.79,27100000000.0,,0.25578383675755134,0.32826992404886074,
AAPL,APPLE INC,320193,0001193125-11-282113,10-K,2011.0,FY,2011-09-30,2011-10-26,108249000000.0,33790000000.0,25922000000.0,27.68,37529000000.0,,0.2394664153941376,0.31215068961376086,
AAPL,APPLE INC,320193,0001193125-12-023398,10-Q,2012.0,Q1,2011-12-31,2012-01-25,46333000000.0,17340000000.0,13064000000.0,13.87,17554000000.0,,0.28195886301340295,0.37424729674314205,
AAPL,APPLE INC,320193,0001193125-12-182321,10-Q,2012.0,Q2,2012-03-31,2012-04-25,39186000000.0,15384000000.0,11622000000.0,12.3,31531000000.0,,0.2965855152350329,0.3925891900168427,
AAPL,APPLE INC,320193,0001193125-12-314552,10-Q,2012.0,Q3,2012-06-30,2012-07-25,35023000000.0,11573000000.0,8824000000.0,9.32,41720000000.0,,0.2519487194129572,0.3304399965736802,
AAPL,APPLE INC,320193,0001193125-12-444068,10-K,2012.0,FY,2012-09-30,2012-10-31,156508000000.0,55241000000.0,41733000000.0,44.15,50856000000.0,,0.26665090602397323,0.35295959311984054,
AAPL,APPLE INC,320193,0001193125-13-022339,10-Q,2013.0,Q1,2012-12-31,2013-01-24,54512000000.0,17210000000.0,13078000000.0,13.81,23426000000.0,,0.2399104784267684,0.3157103023187555,
AAPL,APPLE INC,320193,0001193125-13-168288,10-Q,2013.0,Q2,2013-03-31,2013-04-24,43603000000.0,12558000000.0,9547000000.0,10.09,35930000000.0,,0.2189528243469486,0.2880077058917964,
AAPL,APPLE INC,320193,0001193125-13-300670,10-Q,2013.0,Q3,2013-06-30,2013-07-24,35323000000.0,9201000000.0,6900000000.0,7.47,43758000000.0,,0.19534014664666083,0.2604818390283951,
AAPL,APPLE INC,320193,0001193125-13-416534,10-K,2013.0,FY,2013-09-30,2013-10-30,170910000000.0,48999000000.0,37037000000.0,39.75,53666000000.0,,0.21670469837926393,0.2866947516236616,
AAPL,APPLE INC,320193,0001193125-14-024487,10-Q,2014.0,Q1,2013-12-31,2014-01-28,57594000000.0,17463000000.0,13072000000.0,14.5,22670000000.0,,0.2269680869535021,0.3032086675695385,
AAPL,APPLE INC,320193,0001193125-14-157311,10-Q,2014.0,Q2,2014-03-31,2014-04-24,45646000000.0,13593000000.0,10223000000.0,11.62,36208000000.0,,0.22396266923717303,0.2977917013538974,
AAPL,APPLE INC,320193,0001193125-14-277160,10-Q,2014.0,Q3,2014-06-30,2014-07-23,37432000000.0,10282000000.0,7748000000.0,1.28,46463000000.0,,0.2069886727933319,0.2746847617012182,
